Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,source,TotalSF,TotalBath,HasPool,IsRemodeled,HouseAge,RemodAge
13,20,RL,4.290459441148391,9.470317173335742,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,6.6039438246004725,Unf,0.0,5.170483995038151,6.816735880594968,GasA,TA,Y,SBrkr,6.816735880594968,0.0,0.0,6.816735880594968,1.0,0.0,1,0,2,0.6931471805599453,TA,1.6094379124341003,Typ,0,None,Detchd,7.5822291942764615,Unf,1.0,352.0,TA,TA,Y,4.948759890378168,0.0,0.0,0.0,5.176149732573829,0.0,None,None,None,0.0,9,2008,WD,Normal,train,13.633471761189936,2.0,0,0,46,46
14,20,RL,4.5217885770490405,9.273596821611198,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,5.726847747587197,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,7.3098814858247865,7.3098814858247865,GasA,Ex,Y,SBrkr,7.3098814858247865,0.0,0.0,7.3098814858247865,0.0,0.0,2,0,3,0.6931471805599453,Gd,2.0794415416798357,Typ,1,Gd,Attchd,7.604396348796338,RFn,3.0,840.0,TA,TA,Y,5.081404364984463,3.5263605246161616,0.0,0.0,0.0,0.0,None,None,None,0.0,8,2007,New,Partial,train,14.619762971649573,2.0,0,1,1,0
15,20,RL,4.30406509320417,9.298442820197728,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,5.3612921657094255,TA,TA,CBlock,TA,TA,No,BLQ,6.598509028614515,Unf,0.0,6.255750041753367,7.134093721192866,GasA,TA,Y,SBrkr,7.134093721192866,0.0,0.0,7.134093721192866,1.0,0.0,1,1,2,0.6931471805599453,TA,1.791759469228055,Typ,1,Fa,Attchd,7.581209826196346,RFn,1.0,352.0,TA,TA,Y,0.0,5.365976015021851,5.176149732573829,0.0,0.0,0.0,None,GdWo,None,0.0,5,2008,WD,Normal,train,14.268187442385733,2.5,0,0,48,48
16,45,RM,3.9512437185814275,8.71948076085107,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,6.725033642166843,6.725033642166843,GasA,Ex,Y,FuseA,6.75110146893676,0.0,0.0,6.75110146893676,0.0,0.0,1,0,2,0.6931471805599453,TA,1.791759469228055,Typ,0,None,Detchd,7.596894438144544,Unf,2.0,576.0,TA,TA,Y,3.8918202981106265,4.727387818712341,0.0,0.0,0.0,0.0,None,GdPrv,None,0.0,7,2007,WD,Normal,train,13.476135111103602,1.0,0,1,78,6
17,20,RL,4.30406509320417,9.32741204356202,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,5.198497031265826,TA,TA,CBlock,TA,TA,No,ALQ,6.361302477572996,Unf,0.0,6.056784013228625,6.912742820493176,GasA,Ex,Y,SBrkr,6.912742820493176,0.0,0.0,6.912742820493176,1.0,0.0,1,0,2,0.6931471805599453,TA,1.791759469228055,Typ,1,TA,Attchd,7.58629630715272,Fin,2.0,480.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,None,None,Shed,6.55250788703459,3,2010,WD,Normal,train,13.825485640986352,2.0,0,0,40,40
18,90,RL,4.290459441148391,9.286560397887591,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,None,None,None,None,0.0,None,0.0,0.0,0.0,GasA,TA,Y,SBrkr,7.167809184316444,0.0,0.0,7.167809184316444,0.0,0.0,2,0,2,1.0986122886681098,TA,1.9459101490553132,Typ,0,None,CarPort,7.584773077612199,Unf,2.0,516.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,None,None,Shed,6.2166061010848646,10,2006,WD,Normal,train,7.167809184316444,2.0,0,0,39,39
19,20,RL,4.204692619390966,9.524859098381523,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,6.472346294500901,Unf,0.0,6.150602768446279,7.016609683894219,GasA,Ex,Y,SBrkr,7.016609683894219,0.0,0.0,7.016609683894219,1.0,0.0,1,1,3,0.6931471805599453,Gd,1.9459101490553132,Typ,0,None,Detchd,7.60339933974067,Unf,2.0,576.0,TA,TA,Y,0.0,4.634728988229636,0.0,0.0,0.0,0.0,None,None,None,0.0,6,2008,WD,Normal,train,14.033219367788439,2.5,0,0,4,4
20,20,RL,4.2626798770413155,8.93075873555827,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,6.22455842927536,Unf,0.0,6.26530121273771,6.937314081223682,GasA,TA,Y,SBrkr,7.200424892944957,0.0,0.0,7.200424892944957,0.0,0.0,1,0,3,0.6931471805599453,TA,1.9459101490553132,Min1,0,None,Attchd,7.580189417944541,Unf,1.0,294.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,None,MnPrv,None,0.0,5,2009,COD,Abnorml,train,14.137738974168638,1.0,0,1,51,44
21,60,RL,4.624972813284271,9.562123369834488,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.942799375126701,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,7.055312843339752,7.055312843339752,GasA,Ex,Y,SBrkr,7.055312843339752,7.105786129481271,0.0,7.773594467360194,0.0,0.0,3,1,4,0.6931471805599453,Gd,2.302585092994046,Typ,1,Gd,BuiltIn,7.603897968521881,RFn,3.0,853.0,TA,TA,Y,5.484796933490655,5.043425116919247,0.0,0.0,0.0,0.0,None,None,None,0.0,11,2006,New,Partial,train,21.216411816160775,3.5,0,1,1,0
22,45,RM,4.060443010546419,8.915969311373605,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,6.45833828334479,6.45833828334479,GasA,Ex,Y,FuseF,7.011213987350367,0.0,0.0,7.011213987350367,0.0,0.0,1,0,3,0.6931471805599453,Gd,1.9459101490553132,Typ,1,Gd,Attchd,7.565793282428515,Unf,1.0,280.0,TA,TA,N,0.0,0.0,5.327876168789581,0.0,0.0,0.0,None,GdPrv,None,0.0,6,2007,WD,Normal,train,13.469552270695157,1.0,0,1,77,57
23,20,RL,4.330733340286331,9.184304357425342,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,5.641907070938114,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,7.48324441607385,7.48324441607385,GasA,Ex,Y,SBrkr,7.493317248862145,0.0,0.0,7.493317248862145,0.0,0.0,2,0,3,0.6931471805599453,Gd,2.0794415416798357,Typ,1,Gd,Attchd,7.602401335665818,RFn,2.0,534.0,TA,TA,Y,5.147494476813453,5.075173815233827,0.0,0.0,0.0,0.0,None,None,None,0.0,9,2008,WD,Normal,train,14.976561664935996,2.0,0,0,6,6
24,120,RM,3.8066624897703196,8.348774539791274,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,6.734591659972948,Unf,0.0,5.303304908059076,6.947937068614969,GasA,TA,Y,SBrkr,6.966967138613983,0.0,0.0,6.966967138613983,1.0,0.0,1,0,3,0.6931471805599453,TA,1.9459101490553132,Typ,1,TA,Attchd,7.589335823170617,Unf,2.0,572.0,TA,TA,Y,4.61512051684126,4.709530201312334,0.0,0.0,0.0,0.0,None,None,None,0.0,6,2007,WD,Normal,train,13.914904207228952,2.0,0,0,31,31
25,20,RL,4.290459441148391,9.017604776833355,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,5.241747015059643,ALQ,6.505784060128229,5.3230099791384085,6.966967138613983,GasA,Ex,Y,SBrkr,6.966967138613983,0.0,0.0,6.966967138613983,1.0,0.0,1,0,3,0.6931471805599453,Gd,1.9459101490553132,Typ,1,TA,Attchd,7.585281078639126,Unf,1.0,270.0,TA,TA,Y,6.008813185442595,4.51085950651685,0.0,0.0,0.0,0.0,None,MnPrv,None,0.0,5,2010,WD,Normal,train,13.933934277227966,2.0,0,1,42,9
26,20,RL,4.709530201312334,9.56317796268366,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,6.46302945692067,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,7.356918242356021,7.356918242356021,GasA,Ex,Y,SBrkr,7.3783837129967145,0.0,0.0,7.3783837129967145,0.0,0.0,2,0,3,0.6931471805599453,Gd,2.0794415416798357,Typ,1,Gd,Attchd,7.60489448081162,RFn,3.0,890.0,TA,TA,Y,0.0,4.04305126783455,0.0,0.0,0.0,0.0,None,None,None,0.0,7,2009,WD,Normal,train,14.735301955352735,2.0,0,0,2,2
27,20,RL,4.110873864173311,8.881975184248867,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,5.459585514144159,Rec,6.18826412308259,5.198497031265826,6.803505257608338,GasA,TA,Y,SBrkr,6.803505257608338,0.0,0.0,6.803505257608338,0.0,0.6931471805599453,1,0,3,0.6931471805599453,Gd,1.791759469228055,Typ,0,None,Detchd,7.603897968521881,Unf,2.0,576.0,TA,TA,Y,5.407171771460119,3.4965075614664802,0.0,0.0,0.0,0.0,None,None,None,0.0,5,2010,WD,Normal,train,13.607010515216675,1.3465735902799727,0,1,59,10
28,20,RL,4.59511985013459,9.348274558065496,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,5.303304908059076,Gd,TA,PConc,Ex,TA,No,GLQ,7.105786129481271,Unf,0.0,6.18826412308259,7.4413203897176174,GasA,Ex,Y,SBrkr,7.4413203897176174,0.0,0.0,7.4413203897176174,1.0,0.0,2,0,3,0.6931471805599453,Gd,2.0794415416798357,Typ,1,Gd,Attchd,7.605392364814935,RFn,3.0,772.0,TA,TA,Y,0.0,3.9318256327243257,0.0,0.0,0.0,0.0,None,None,None,0.0,5,2010,WD,Normal,train,14.882640779435235,3.0,0,1,3,2
29,20,RL,3.871201010907891,9.700269170029188,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,7.15305163493748,Unf,0.0,5.337538079701318,7.3031700512368,GasA,TA,Y,SBrkr,7.3783837129967145,0.0,0.0,7.3783837129967145,1.0,0.0,1,0,2,0.6931471805599453,TA,1.9459101490553132,Typ,2,Gd,Attchd,7.579678823090456,RFn,1.0,319.0,TA,TA,Y,5.666426688112432,5.556828061699537,0.0,0.0,0.0,0.0,None,None,None,0.0,12,2006,WD,Normal,train,14.681553764233515,2.0,0,1,49,9
30,30,RM,4.110873864173311,8.752265313595721,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,6.255750041753367,6.255750041753367,GasA,Fa,N,SBrkr,6.255750041753367,0.0,0.0,6.255750041753367,0.0,0.0,1,0,1,0.6931471805599453,Fa,1.6094379124341003,Typ,0,None,Detchd,7.560601162768557,Unf,1.0,240.0,Fa,TA,Y,3.912023005428146,0.0,4.477336814478207,0.0,0.0,0.0,None,None,None,0.0,5,2008,WD,Normal,train,12.511500083506734,1.0,0,1,81,58
31,70,C (all),3.9318256327243257,9.04793908261736,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,6.476972362889683,6.476972362889683,GasA,TA,N,SBrkr,6.476972362889683,6.505784060128229,0.0,7.183870715062453,0.0,0.0,1,0,3,0.6931471805599453,TA,1.9459101490553132,Typ,0,None,Detchd,7.560601162768557,Unf,1.0,250.0,TA,Fa,N,0.0,4.007333185232471,5.153291594497779,0.0,0.0,0.0,None,MnPrv,None,0.0,7,2008,WD,Normal,train,19.459728785907593,1.0,0,1,88,58
32,20,RL,4.290459441148391,9.053101595549691,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,7.113956109566034,7.113956109566034,GasA,Gd,Y,SBrkr,7.113956109566034,0.0,0.0,7.113956109566034,0.0,0.0,1,1,3,0.6931471805599453,Gd,1.9459101490553132,Typ,0,None,Attchd,7.584264818389059,Unf,1.0,271.0,TA,TA,Y,0.0,4.189654742026425,0.0,0.0,0.0,0.0,None,MnPrv,None,0.0,6,2008,WD,Normal,train,14.227912219132069,1.5,0,1,42,2
33,20,RL,4.454347296253507,9.3101857069459,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,7.118826249062078,7.118826249062078,GasA,Ex,Y,SBrkr,7.118826249062078,0.0,0.0,7.118826249062078,0.0,0.0,2,0,3,0.6931471805599453,Gd,2.0794415416798357,Typ,0,None,Attchd,7.60489448081162,RFn,2.0,484.0,TA,TA,Y,0.0,3.4339872044851463,0.0,0.0,0.0,0.0,None,None,None,0.0,1,2008,WD,Normal,train,14.237652498124156,2.0,0,0,1,1
34,20,RL,4.2626798770413155,9.26416545867109,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,6.926577033222725,Unf,0.0,5.942799375126701,7.243512974665482,GasA,Gd,Y,SBrkr,7.438971592395862,0.0,0.0,7.438971592395862,0.0,0.6931471805599453,1,1,4,0.6931471805599453,Gd,1.9459101490553132,Typ,1,Gd,Attchd,7.580699752224563,RFn,2.0,447.0,TA,TA,Y,0.0,3.6635616461296463,0.0,0.0,0.0,0.0,None,None,None,0.0,4,2010,WD,Normal,train,14.682484567061344,1.8465735902799727,0,0,51,51
